userName,score,at,content
Sugi Ono,2,2023-06-03 11:42:13,Gttvbbtt yang tidak bisa Hyung Joon by bvv vrvvvt
Muhajir M99,3,2023-06-03 11:40:20,Terlalu mahal ongir nya
Kartika Andriani Pratama,2,2023-06-03 11:38:27,Sering eror
Yoga Putra,1,2023-06-03 11:38:10,Ntah gk tau knp shoope makin lama makin ngeheng alias lemot
susi yulyanti,5,2023-06-03 11:37:32,Terbaik pokonya....
Andry Ant,1,2023-06-03 11:37:30,Force close lagi..
Ulfi Nurfitriani,5,2023-06-03 11:37:06,Sangat cocok untuk kaum mager seperti ku Banyak voucher gratis ongkir
Dewi Cempluk,5,2023-06-03 11:36:23,"Pertama kali mencoba, dan cukup memuaskan dengan semua pengalamannya.. mudah dan praktis bagi kami pengguna baru,"
Wahyu Muryadi,5,2023-06-03 11:35:38,jos gandos
Zasky Ramadani,1,2023-06-03 11:34:57,Kenapa shopee ga bisa di download si
A Riyadhus sholihin,3,2023-06-03 11:34:14,"Bagus sih nambah fitur-fitur baru, tapi sayangnya gak jelas, error mulu"
Ambar Winarto,5,2023-06-03 11:32:29,Memang aplikasi belanja lewat shoppe ini banyak geratis ongkirnya jd gk terlalu mahal thanks shoppe..
Jihan Han,2,2023-06-03 11:31:36,Lemot bgt deh bikin kesel aja
Husnul Khotimah,5,2023-06-03 11:31:23,Barang sesuai deskripsi dan cepat
Dewanti Rosario,5,2023-06-03 11:30:20,Senang belanja menggunakan shopee dimudahkan dan beragam produk serta ulasan² yg sangat membantu
aab oliq,5,2023-06-03 11:27:44,Shopee kamu memang cantik
sandi andrean,5,2023-06-03 11:27:38,ok
Juheb ID,1,2023-06-03 11:26:51,"Maaf yah aku uninstal, kualitasnya sekarang jelek banget lemot dan yah gratos ongkir nyabpun iuuhhh banget skrg beralih ke TIKTOK lebih manteup warbyaza pokonya ,"
Naruto Cell,5,2023-06-03 11:25:08,Paket saya 2kali hilang menggunakan shopee express. Nunggu sampai 18 hari ujungnya kecewa. Kalau gak diperbaiki ekspedisinya saya tetep kasi bintang 1
Muhamad Fauzi,5,2023-06-03 11:23:31,Mantap
iseng-iseng santai,1,2023-06-03 11:22:49,Handling komplain di shopee jelek banget. Komplain terkait barang yg tidak datang2 bukanya ditangani malah banyak bot yg jawab. Jelekkkk handlingnya.parah.
Widia Sari,1,2023-06-03 11:22:32,"Aplikasi ini kurang banyak bersyukur Duluny setiap Belanja ga ada biaya admin 1000 skrng ada. Dulu bisa top up Sampek berjuta2 ga di batasi, skrng harus 1jt ,itupun dulu ga ada biaya admin, skrng Adm 1.500 nambh lagi skrng 2000 , astaghfirullah banget makin gila duit, aplikasi berat Padahal pengguna apk shoope sudah melimpah masih saja kurang dan semuany di Adm kan Saya sangat kecewa🥺 pantas saja skrng banyak Sdah beralih ke TikTok 😊"
Gunawan Bahtiar,1,2023-06-03 11:22:12,Terlalu banyak iklan
Suhardi Hardi,5,2023-06-03 11:22:11,Best banget
Okta Tri,5,2023-06-03 11:21:35,😌😌
Sefur Rohman,5,2023-06-03 11:20:30,sangat membatu . walau kadang ada keterlambatan pengirimn
Surya Anggi,5,2023-06-03 11:20:13,"Mau beli apa""tinggal di shopee solusinya"
Angel Sari,5,2023-06-03 11:19:41,Sangat membantu saat mencari apa yg mau di beli....mksh shopee
Siti Fatimah,5,2023-06-03 11:19:18,yihaa
Andri Sopian,1,2023-06-03 11:18:32,"Aplikasi paling lag, berat, banyak fitur gak berguna. Intinya ini aplikasi ampas banget. Jauh berbeda sama aplikasi si ijo."
Nuur hayyu,3,2023-06-03 11:18:09,kok ga bisa download:(
Mellie,1,2023-06-03 11:17:40,Apk nya udh bnyk org yg pake tpi msh lag² gkjls tolong di perbaiki dong gangu bgt!!
Erfan Elly,5,2023-06-03 11:17:24,bagus
Ijul Julizah,5,2023-06-03 11:17:00,Kren
Rehulina Cr.ginting,5,2023-06-03 11:16:38,"Masih kurang mantap , karna masih sering lengket tidak tau kenapa"
Wilina Asni,5,2023-06-03 11:15:28,sangat bagus
Yeni Mulyani,5,2023-06-03 11:14:35,Puas dengan pesanan nya
Yadi Bhule,5,2023-06-03 11:13:51,Tidak mengecewakan
Amir Rullah,5,2023-06-03 11:13:25,Mantap
Pramudita Ningrum,1,2023-06-03 11:13:04,Force close akun mau masuk nomer ditemukan aplikasi ampas lama lama
Anggikesya Juliarta,4,2023-06-03 11:12:12,perfect
Maryanah Yana,5,2023-06-03 11:08:37,Sinyal baguss...bagusss aja & Slalu dpt barangnya sesuai pokoknya realpitc.kerennn...kerennn
Diahayu meilia,5,2023-06-03 11:07:48,Dancok
Ocha Warocha,3,2023-06-03 11:07:32,"lemot banget, padahal cache aplikasi sudah saya hapus, jaringan bagus stabil, tapi untuk proses menghapusi keranjang saya klik klik berkali2 lama responnya tolong perbaiki."
Yeti Pustina,1,2023-06-03 11:05:56,bagus
Putri oktavia,5,2023-06-03 11:05:53,Top
XEB XEB,5,2023-06-03 11:05:26,ok
Sayra Nova,5,2023-06-03 11:03:45,sangat bagus
rafi ahmad,5,2023-06-03 11:02:10,mantap
Oemah Koi,5,2023-06-03 11:02:07,Bagus & cepat
D3K real,5,2023-06-03 11:01:14,Menarik
Kholid Mawardi,5,2023-06-03 11:00:42,Ok
Airin Fatmanda,5,2023-06-03 11:00:19,Sangat puas belanja d shopee
Sofi Yudin,5,2023-06-03 11:00:04,Oke bagus
Yoyo,5,2023-06-03 10:59:45,Tolong produk yg palsu di blokir Banyak hp android yg ga jelas merknya di jual di shopee
yutub Free,1,2023-06-03 10:58:37,"Memang dari aplikasi nya yang lemot Masa iya sih gua udah iphone 14 masih aja lemot, dan juga belakangan ini keluhan terbanyak itu masalah respon aplikasi nya. Jadi kalian itu harus memperbaiki nya bukan malah nyuruh ini itu lah. Liat aja tuh rate kalian turun jauh 🤣"
bond anna,5,2023-06-03 10:58:17,Shopee semakin didepan...mantappp
Nomi Novita,5,2023-06-03 10:58:02,"Belanja di sini puas banget,sering dapat gratis ongkir,harga discount,produk2 yang di jual juga rata2 yang aku beli ORI,bagus,dan tidak mengecewakan.Thank you Shopee"
Hariyati C1B111218,5,2023-06-03 10:57:34,Mantappp sekarang shopee
Epi Saepul malik,5,2023-06-03 10:56:25,Ok baik
Duta Ponsel,5,2023-06-03 10:56:24,Keren
Yaksha Shiro,5,2023-06-03 10:55:54,trimksih
Alan Adjilahu,5,2023-06-03 10:55:46,Mantap sklii
Syafika Devi sari,2,2023-06-03 10:54:23,Lemot trus pas krim pesan jd susah mw komplain barang
narutouzumaki99,5,2023-06-03 10:53:13,8saehnd imutunya
Wandi Suhendi,5,2023-06-03 10:52:27,"Belanja di shoppe tokonya banyak yg amanah,,gak abal2,,sangat membantu"
Imung Sugiarti,5,2023-06-03 10:51:17,Bagus
Black Spider,5,2023-06-03 10:51:16,Jos gandos
Rahmat Novianto,4,2023-06-03 10:50:55,"Aplikasinya makin berat, sering lag"
Dewi Kartini,5,2023-06-03 10:50:51,"Seneng blanja di sini. Terutama utk produk fasion, kecantikan n rumah tangga. Semoga selalu dan selamanya jaya."
Adilanilam Ardani,5,2023-06-03 10:49:42,cucok
Ziero Aro,1,2023-06-03 10:49:18,"Lag sering fc di android, prosesor hp gw sd 870.."
Igniwati Napa,5,2023-06-03 10:49:14,Sangat Baguss
clala clili,1,2023-06-03 10:48:20,"Kami semua merasa sangat kecewa dengan app ini, sebagai pengguna lama kami merasa dikecewakan dengan app ini. Sudah ratusan pengguna yg memberi tanggapan yg sama atas performa app ini, tp responya malah tambah bikin kecewa,"
yovi aja,1,2023-06-03 10:46:37,"biaya top up mahal ,ongkir mahal apknya lelet ,denda nya mahal daripada leasing lain"
Andra Soni,5,2023-06-03 10:45:34,Menarik
Dewi Nurhayati,5,2023-06-03 10:43:13,Bagus sesuai harga pengiriman cepat terima kasih
Rizka.kaka_ _,1,2023-06-03 10:41:47,Lemot aplikasinya sinyal kenceng mau co malah muter terus ga maju maju
atek silung dan the sariak layung compeni,5,2023-06-03 10:41:39,Aplikasi nya sekarang kadang suka lemot sangat mengganggu....
shakila adiba,5,2023-06-03 10:41:24,Good
Ade Dzikra,5,2023-06-03 10:39:31,Mantap
budi slamet,3,2023-06-03 10:38:32,Lumayan
Iwanwan Iwanwan,5,2023-06-03 10:38:10,bagus
Iwan Jaenudin,5,2023-06-03 10:37:37,Sangat membantu untuk keluarga saya Bila malas keluar rumah tinggal pesan di shoopee
Ghazy Helmi,5,2023-06-03 10:37:13,Bagus
Singgih Hasanul Baluqia,5,2023-06-03 10:37:07,Terima kasih banyak Tim Shopee.. luar biasa.. sangat membantu.. Pertahankan jika perlu di tingkatkan..👍
Andry Metta,5,2023-06-03 10:37:06,Puas
Wong Pitoe,1,2023-06-03 10:36:59,"Lemot , penyelesaian masalah barang hilang di ekspedisi lama"
Yuli Indrawati,1,2023-06-03 10:36:30,Gajelas bgt pdhl jaringan bagus tpi pas menunggu fitur baru ngelag pdh ga ngelag di pencarian mah
Putra Putra,5,2023-06-03 10:36:24,Bagus walaupun belum coba
Tania Febri,5,2023-06-03 10:36:23,"Udah bayar spinjam Tp limit nya ko nggk bertambah , pdahal d notifikasinya ada tulisan bahwa limit akan d kembalikan tp tdk bertambah limitnya"
Rajendra Niya,4,2023-06-03 10:36:05,"Buat pelayanan bagus, setiap produk yg ditawarkan cukup rekomended utk sementara ini, trmksh Shoppe"
Angler Hs,1,2023-06-03 10:35:38,Ketegasan shope sangat buruk terhadap akun penjual penipu
DWI WAHYUNI,5,2023-06-03 10:35:36,suka belanja online di shopee
Fadlun Lun,1,2023-06-03 10:35:06,Kenapa iklannya datang terus ini tanpa di minta. Mengganggu aktivitas ku saja tolong jangan muncul muncul lagi.
Edwardsyah Sagala,4,2023-06-03 10:34:13,shopee aplikasi yg paling ok
Tedy Adi,1,2023-06-03 10:34:03,"Lemot sering nge lag ,cicilan makin mahal !!"
Iyasa Dina,5,2023-06-03 10:33:56,Setiap permasalahan pengiriman selalu ada solusi
Anton Gaming,5,2023-06-03 10:33:31,"Keren ,sangat membantu sekali"
Supriyani Jahra,4,2023-06-03 10:33:00,I love shopee...sampe sekarang tetep love sih ......tapi sayang lemot padahal jaringan nya bagus tapi gak bisa lihat video diaplikasi nya😓
anissa cahyani,3,2023-06-03 10:32:20,Baran. Bil. Runah
Milky Rois,4,2023-06-03 10:32:15,Tolong sinyal nya di perbaiki lagi. Karena saat menggunakan Shopee . Itu loading nya lama dan ketika melihat barang juga lama. Tolong di perbaiki lagi
Michelle Indri,5,2023-06-03 10:30:37,Cool
Mar Dani,1,2023-06-03 10:30:01,Belum selesai mengisi petunjuk untuk pesan terus ngak jadi sudah diklem pesan Barang yang dikirim juga ngak sesuai pesanan
Ros Lina,5,2023-06-03 10:29:17,Klw dr shope sih.aman2 aj👍🥰dlm masa ini lah👍
tri setia kristiyani,3,2023-06-03 10:27:32,"Baru kali ini pakai sophee bermasalah. Padahal sudah bbrp tahun ini pakai dan sangat terbantu. Barusan bayar tagihan tdk bisa. Beli barang juga bermasalah saat pembayaran. Ada warning ""periksa koneksi"", tapi koneksi sy baik2 saja. Sdh coba hapus cache bahkan aplikasi lain yg ga kepakai. Tapi ttp sama saja. Ada apa dg sophee? Yuk perbaiki yuuk..."
Zul Fikar,2,2023-06-03 10:27:06,"Lama kelamaan saya tidak puas belanja di shopee ini kurir nya sombong,dan juga paket awak TK di antar sampai depan rumah.bnyak alasan kurir nya di suruh di jemput tengah perjalanan👿👿👿"
Siti Nurhalizah,5,2023-06-03 10:26:38,Sangatt baguzssssss
Sukron Leong,5,2023-06-03 10:25:34,Mantul
Yudi Wahyudi,4,2023-06-03 10:25:32,sangat menyenangkan
Syamsul Hedi,5,2023-06-03 10:23:17,baik
