userName,score,at,content
Andy Kulon,3,2023-06-03 23:24:34,Semakin lama kog lemot.bintang kurangi dl
aquinta Mahendrata,5,2023-06-03 23:22:50,Bagus
Rafif Afkari,5,2023-06-03 23:21:03,Bagus
Wina,5,2023-06-03 23:20:20,Belanja di Shopee pasti asyik
Emy Lda,3,2023-06-03 23:18:45,"Makin kesini makin lama loading ny,kadang suka eror trus"
Pak Romli,5,2023-06-03 23:18:34,"Barang sllu ad dan murah""...serta pengiriman cepat👍👍👍👍"
Ramadaniar Alkaila,5,2023-06-03 23:17:19,Suka dengn shopee
Herman Setiawan,5,2023-06-03 23:11:13,Senang belanja di Shopee berkualitas
Jimmy Charles,1,2023-06-03 23:09:46,Ga ada toko yg aktifin cod apa? Resiko penipuan si.
KE Channel,1,2023-06-03 23:09:24,"Mau bayar mau ke menu paket data sama pulsa tagihan aja susah, pdhl sinyal bagus.. betulin dong saya mau bayar listrik susah amat keburu abis nih.."
Asri Adi,2,2023-06-03 23:04:16,Aplikasi shopie sangat membantu
Yamaha Stigabaya,5,2023-06-03 23:02:39,Baik
rais muhammad,5,2023-06-03 23:01:42,sukses selalu shopee!
wawan marwanto,2,2023-06-03 22:55:01,kenapa harus pake coin sih kenapa ga balik lagi ke saldo kalo nonton video.
Padil Lah,5,2023-06-03 22:54:07,Bagus 😁🙏
Arisandi Tarakan,5,2023-06-03 22:53:28,Rifaldi
Muhamad Andi Saputro,5,2023-06-03 22:52:39,Mantul pokoke
Abizar Alfarizky,4,2023-06-03 22:47:31,Bagus
Cha Cha,1,2023-06-03 22:46:36,Aplikasi semakin lemot.... Semakin banyak fake akun penjual yg menipu... Padahal sudah banyak ulasan negatif tp akun tidak di blok atau dihapus oleh shopee
V Jazzy,1,2023-06-03 22:44:29,Aplikasi pemerasan
RaNdu EightyNine_,5,2023-06-03 22:43:41,Excellent_
LAY DJAN KHIUN (SULFENDRY ANDREAND),3,2023-06-03 22:42:41,BENAR BENAR PARAH SETELAH UPDATE SAAT ORDER BARANG JADI LEMOT BANGAT APLIKASINYA
Manarul Hidayat,4,2023-06-03 22:40:50,"Aplikasnya tolong d perbaiki lagi mass/mbak,sering lemot/lambat gt kadang eror"
Aliya Aliya,2,2023-06-03 22:40:14,Akhir² Shopee knp si potongan ongkirnya sedikit bnget
Bahar Unna,1,2023-06-03 22:39:21,mantap
Muhammad Jaya abadi,5,2023-06-03 22:35:17,Respon cepat
Khalimatul Syakdiyah,5,2023-06-03 22:32:37,Selalu ada gratis ongkir ...
Amir Rincing,5,2023-06-03 22:27:51,👍
Ahmad Zamzami,1,2023-06-03 22:27:33,Shopee klo membuka halaman Lemot....lama loadingingnya beda dengan Tokopedia sekali klik halaman langsung buka....klo sudah banyak yg kasih bintang 1..mohon diperbaiki aplikasinya...lama lama juga orang pindah menggunakan aplikasi shop online yg lain..
Muhdi Arif,3,2023-06-03 22:27:18,Hi min. Tolong donk biar bisa belanja seperti vape . Pod. dll. Seperti dulu lagi
Yuni Fitriyani,5,2023-06-03 22:26:12,tiap belanja di oren selalu dapet gratis ongkir
lugi ajaib,3,2023-06-03 22:14:32,"Harga barang yg ditawarkan murah dan beragam dan mudah digunakan,,, sekarang Shopee lemotttttt"
Siti Sarah31,5,2023-06-03 22:09:05,Mantap
Wahyu Akbar Winarto,1,2023-06-03 22:00:55,Maaf aku kecewa
No Username,1,2023-06-03 21:49:34,I Love Lazada and Tokopedia
Sirelmi Narzo,1,2023-06-03 21:30:12,Pengiriman menggunakan ekspedisi dari apk ini sangat lambat
Cimi Persia,5,2023-06-03 21:29:18,Good
Azkya Nazwa,5,2023-06-03 21:26:51,Puas belanja di shopee
Tri Yeyen,5,2023-06-03 21:23:58,Ok
Asep Iskandar (kankan prawirasasra),5,2023-06-03 21:15:07,Ya trima kasih shopee 6.6 head set sudah diterima dengan kondisi bagus ..makasih bang kuriir
nisa Des,1,2023-06-03 21:13:15,"Kurang Bagus.tolong dong saat orang mau order 2 barang di toko yg msh sama,jgn dipersulit caranya. Sy jd order2x dan byr ongkir 2x. Pdhl 7an sm,tokonya jg sama. Dan kalo sering topup udh ga bs diisi lagi. Alias limit. Jarusnya ga gt. Curang. Dan iklannya itu dmn² sampe bosen dgr lagunya dan buang² waktu cm liat iklan shopee."
Nisfu Amran,1,2023-06-03 21:09:51,Aplikasi lemot
Aril Halom,5,2023-06-03 21:07:02,Apl bgs berguna bngt sip dah pokonya bisa ngutang dulu bayar nanti kan berguna bngt bagi orang yg blm ad duit tpi kepengen beli sesuatu.
Muhamad Umar,1,2023-06-03 21:00:12,Iklan teros gak enak
Wagiman Pitopang,3,2023-06-03 20:57:15,Mantul
Juni,1,2023-06-03 20:53:51,Aplikasi dengan nama besar tapi lemot setengah mati.
Yudha Pratama,5,2023-06-03 20:51:45,bagus
Sukma Wijaya,5,2023-06-03 20:49:38,Witdraw
Samsudin Samsudin,5,2023-06-03 20:40:15,"spaylater dibatasin ada spinjaman tidak bisa di gunakan,gak pernah galbay,tp di batasin"
Diah Endang Puspitarini,5,2023-06-03 20:35:46,"Baik , semoga kedepannya makin bagus"
Solid Maulana,5,2023-06-03 20:28:52,Bagus sekali
Ari Rii,5,2023-06-03 20:27:23,Keren dan baguss
Zay Mancing,5,2023-06-03 20:27:08,Good
Awaludin Sobirin,1,2023-06-03 20:26:16,lemot banget aplikasinya
Ujang Asri,3,2023-06-03 20:24:54,"Coba2 3 bintang, bagus saya naikkan 5bintang"
Dian Keceng,5,2023-06-03 20:22:12,sukses ellu
bangdika sapputra,5,2023-06-03 20:19:44,saya suka sopee
laili laila,5,2023-06-03 20:15:59,jos
Kaka Cucut,4,2023-06-03 20:11:14,Sy kasih bintang 4 dulu klo dah terasa mamfaat kegunaanya dan menguntungkan bagi sy nanti ditambah lagi bintangnya🙏
Onrapus Noomas,5,2023-06-03 20:08:32,Ok punya
Heri Kurniawan,1,2023-06-03 20:06:08,Sangat sangat lemott padahal sinyal bagus masih banyak bug
Emil Jr,5,2023-06-03 20:04:21,Terimakasih Shoope 👍👍👍
Arfatalessy Arfatalessy,5,2023-06-03 20:01:27,𝗯𝗲𝗿𝗸𝗮𝘁 𝘀𝗵𝗼𝗽𝗲
Dirga anton,2,2023-06-03 20:00:24,Bagsu
Alfatih Rayyan,2,2023-06-03 19:58:18,"pendusta, udah sejam nonton video, hadiah diacak. udah kuota gw abis disedot"
Dimas Adi Nugroho,5,2023-06-03 19:56:41,Mantul
Muhammad Zaelani,3,2023-06-03 19:55:48,C zduet cdvcc cung c r dessert dryer😯👴K9
Dendy Motoflog Bandung,1,2023-06-03 19:55:40,Makin sering update makin eror apk Shopee ini buat transaksi Platter sekarang lama banget loading bisa sampe hp panas
andri yanto,5,2023-06-03 19:51:57,bagus barangya sesuai pesanan
Torikul New,5,2023-06-03 19:51:08,👍👍👍
adi dwi saputro,1,2023-06-03 19:49:38,"Fungsi shopee video apa? Isinya video tiktok, malah bikin lemott 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️"
Hilmy Kurniawan,2,2023-06-03 19:49:30,Susah kalo darurat topup pulsa/token listrik muter lama tiba2 gabisa harus nunggu 10 menit kdang melebihin batas maks.
Asep Suhendar,5,2023-06-03 19:42:43,Pelayanan sangat memuaskan belanja di shopee
Devy Rahmawati,1,2023-06-03 19:39:55,makin kesini makin ga jelas app dan pelayanan cs nya. sekarang pengiriman spx malah ikutan ga beres. masa diketerangannya awal udah sampai pondok aren. tiba2 malah dilempar lg ke serpong. padahal biasanya tinggal kirim ke alamat tujuan kalo udah di pondok aren.
Suhendra Binjai,5,2023-06-03 19:36:21,Ok
Suci Wulandari,5,2023-06-03 19:35:41,Cepat pengeirimannya
Icuan Teri,1,2023-06-03 19:28:09,"Kont cuma salah pin 2 kali jadi susah transfer,susah beli pulsa,dnlain2,jawabannya kaya gini ""transfer mu tidak dapat diproses demi keamanan silahkan coba lagi nanti,trus udah gue tunggu 24jm jawabanyah masih SMA trus harus ngapain gue ANJ gue lagi butuh dah deem costumer nggak ngerti pertanyaan gue asem,udah tau ini akun gue,gue lagi butuh uang ajng ,A**INK kau apk elor,banyak elor yah lah,nyesel kirim ke shoppe bnyk elor"
Mamah Iis,5,2023-06-03 19:26:03,Mantap
Devi S,1,2023-06-03 19:25:08,"Makin lemot (padahal wifi dirumah bagus banget), setiap buka produk untuk lihat dahulu (malah kembali ke awal lagi), jadi cape scrooolllnya lagi untuk kebawah, balikin model shopee seperti dulu saja itu sudah cukup lebih baik, terima kasih"
luan luan,4,2023-06-03 19:24:24,bagus
Ahmad Ramadhani,1,2023-06-03 19:22:18,Gamenya seperti judi
Ayong Very,5,2023-06-03 19:21:30,bagus
astry fazrin,1,2023-06-03 19:21:13,Iklan Shopee sial mengganggu
Bnkzht !!!,5,2023-06-03 19:19:16,Nice
wawan butar,1,2023-06-03 19:18:24,sy pngguna setya shope tp mulai detik ini saya uninstal apk ini sdh tdk brguna lagi snnjak koin dr nnton shope video nya tdk bs ditarik mnjadi shopee pay mlah di alihkan ke koin shope .......kecewa selamat tggl apk tak bermutu... trmksh sdh mnamni saya slma setahun ini bye..
Alta Arya,5,2023-06-03 19:16:59,bgus
Dimas Hasanah,4,2023-06-03 19:16:57,Terkadang ada yg nipu
Aurell Gebbykanata,5,2023-06-03 19:16:06,Ok
Khairunisa Ramadhani,3,2023-06-03 19:16:00,"Pembaruan terus, makin banyak yg menggunakan apa2 semakin naik, dari biaya admin bayar listrik dan lainnya"
Ardi Vana,1,2023-06-03 19:11:18,Aplikasinya lemot kaya semut loadingnya
Ony Wibowo,4,2023-06-03 19:02:55,bagus
Nanik Delan,5,2023-06-03 19:02:53,Ok
New Edy KORG,5,2023-06-03 18:59:20,Aplikasi sangat mmbatu .
arie gilang pramudya,5,2023-06-03 18:57:03,Top
Lanek Madu,5,2023-06-03 18:56:07,mantap apk nya bagus sekali
Sugeng Sueng,5,2023-06-03 18:50:15,Sangat membantu
Sosro Dikromo,5,2023-06-03 18:48:46,Siip
Toko LANCAR JAYA,1,2023-06-03 18:47:26,Makin gajelas!!mau daftar aja susah banget segala verifikasi muka !!
Zainal Faizai,5,2023-06-03 18:47:02,Bagusdd
Yosphin Mahendra,5,2023-06-03 18:46:39,Untuk transaksi apapun sangat membantu sich. Bintang 3 dulu soalnya masih belum acc splaternya
dwitya “sentaku” adi pradana,3,2023-06-03 18:46:16,Semakin berat dan lemottttttt
Shalsabilla adriansyah Ariff gunawan,1,2023-06-03 18:33:43,Makin kesini aplikasi nya lemott Apalagi sekarang untuk metode cod nya agak sulitt
Jaka Umaro,1,2023-06-03 18:31:32,"Aplikasi apa.an .. Masa saya mengajukan payleter tidak bisa, terus notifikasi nya KTP sudah di gunakan, padahal baru pengajuan. Anehhh"
Nazar Mentari,5,2023-06-03 18:31:23,Sangat membantu untuk belanja
Asep Maulana,5,2023-06-03 18:31:06,mantappp
Pristo Yuri,1,2023-06-03 18:30:38,"Shopee gamesnya gk jelas, pure penipuan semoga gk laku"
Windaranti Lbs,1,2023-06-03 18:30:33,"skrg udh aneh serba lemot, BIAYA PELAYANAN SAMPAI 10 RB YA NGERI"
Ineu Sintia,5,2023-06-03 18:22:29,💪💪💪
Romli Yunus,5,2023-06-03 18:18:21,Sangat membatu untuk belanja kebutuhan online
Wahyu Wiewaha,5,2023-06-03 18:17:59,Aplikasi yang sangat membantu untuk transaksi online dengan aman. Kenapa akhir-akhir ini terasa berat untuk membuka foto/display barang selalu loading tiada akhir
Fauzu Adhim,5,2023-06-03 18:13:00,mantap
Dwina Naa,2,2023-06-03 18:12:19,"Semakin lemot kebanyakan fitur ga jelas , ini apk untuk belanja jd kaya tiktok tpi tambah berat ,pdhl udah signyal bagus dn ruang masi banyak tetep aja lemot sering g bisa dipencet, kebanyakn update yang ga jelass !!! Hilangin aja fitur video g jelas bgt , kembalikan apk ini sesuai fungsinya bukan untuk monopoli semua aja pake shopee!! Lu kira lu bisa jadi VOC mau monopoli semua"
Iril Mala,1,2023-06-03 18:10:03,Bener bnget makin kesini makin lemot g ngeri lagi dngan aplikasi nie skrng
Dava DVR 21,1,2023-06-03 18:07:34,"Aplikasi berat banget,padahal sinya bagus ,ram gede, penyimpanan longgar,maingame online yang basis datanya 16gb lancar,lah ini gak nyampe 1gb udah lemot bet anyingg"
Ahmad Saifudin,5,2023-06-03 18:06:37,mantap dah pokok nya
Bowo Bewol,5,2023-06-03 18:06:12,👍👍👍
Tibie Alqatirie,5,2023-06-03 18:01:44,ok
Kukuh Anak Rajin,3,2023-06-03 18:00:38,kapan SPayleter saya bisa di pakai?!!
Riessya Riandhika,3,2023-06-03 17:58:45,"Kenapa shopee aplikasinya makin lemot yah,padahal paket byk, sinyal 4G+ ruang penyimpanan sedikit.. udh di upgrate aplikasi smpai hp pun, ttp gak ngaruh, pdhal buka aplikasi lain, malahan cepat, udh 2 mgu ini lemot sekali"
oox yoyok,2,2023-06-03 17:58:24,"bintang ny aq kurangi, sekarang shopee pelit banget untuk vocher free ongkir, gak kayak dulu, hampir setiap hari bagi2 vocher jadi semangat pengen belanja terus, kalo kayak gini terus bisa pindah belanja pake aplikasi sebelah."
Aripdwi Praatyo,5,2023-06-03 17:55:11,baik
Ram's Aquatic,1,2023-06-03 17:52:01,"Kecewa gak bisa aktifasi shopepay, mau hapus akun di tolak"
Atim Juni,5,2023-06-03 17:50:12,Oke
iin inah,4,2023-06-03 17:48:27,"Tolong perbaiki aplikasi udah di update, tapi gak bisa refresh halaman"
Citra Utami,5,2023-06-03 17:48:09,Aplikasi yg tepercaya
Serlina moen,3,2023-06-03 17:48:05,Keren
Regeng Wbk,1,2023-06-03 17:47:11,Lemot
Indihome Kita,5,2023-06-03 17:44:42,Good job
Jodhi Sayogo,5,2023-06-03 17:44:15,"Klo boleh saran, di chat box mungkin bisa dikasih fitur ""unsend"" Gak tau knp ya, mungkin perasaan aja, olshop² tuh agak kurang simple ux ui nya jd pusing."
Ana Mahlia,3,2023-06-03 17:44:05,Bagus bnyk produk murah dan berkualitas
husnul fiqar,5,2023-06-03 17:42:54,Mantaapp
channel muhammad sofyan,5,2023-06-03 17:42:08,shopee ok
Edy Sahputra,1,2023-06-03 17:41:52,"Dulu sering pakai shopeefood tapi sekarang lebih seneng pakai Grabfood. Grabfood ga pake biaya lain² sementara shopeefood ada dan bisa sampai 5 ribu untuk itu saja. Itu belum lagi diskonnya skrng pelit. Grabfood pesen 40ribu aja bisa diskon 30%. Itu belum lagi langganan grab unlimited, bs gratis ongkir grabfood. -_-"""
Rega Agreesha,1,2023-06-03 17:38:16,Di update bukan makin bagus malah jadi lemot begini
Wahyu Di,5,2023-06-03 17:35:43,Kasih gratis ongkir nya tiap hari nol rupiah donk... Hilangkan biaya jasa apk setiap belanja jdi tambah mahal dan jangan lemot apk nya
Ka Wawan,5,2023-06-03 17:34:13,Superrr
AjA Kin,3,2023-06-03 17:32:17,"Aplikasinya bagus, akan tetapi pihak penjual ada yang tidak beres, contohnya, yang di jual merek hp, ternyata setelah belanja, yang di kirim casing nya, yang pasti kecewa."
Andha Jhie,1,2023-06-03 17:31:52,"Saya sudah menghapus aplikasi ini, karna telah menggunakan data tidak sesuai dengan data penagihan SPayLater"
Alfan Ibrohim,2,2023-06-03 17:31:27,Mantap....makin lemot...hp ram 2 jd susah loading lama..bintang di kurangun lagi...makin kedepan makin parah
Huda Mutakim,4,2023-06-03 17:30:20,Sangat memuaskan
Saifudine Saifudine,4,2023-06-03 17:29:32,Shofee mantap top..👍👍👍
Aris Ramdani,1,2023-06-03 17:29:26,Gara2 gak ada notif tagihan spleter di bekukan ameh
Elfis Yulizar,1,2023-06-03 17:29:04,Makin kesini makon ngelunjak . Top up adm dari 1000 naik 1500 naik lagi 2000 Udah itu di batas juga top up via indomaret cuma 1 juta
Uus Sukmara,2,2023-06-03 17:24:46,Kenapa lemot banget
Nazar Ilham,5,2023-06-03 17:23:53,"Bagus aplikasi nya ga nyesel donlod shopee,memudahkan ber belanja ,tinggal cari tinggal beli yoi"
Wiradno Ono,5,2023-06-03 17:18:35,Good
Wawan Gunawan,1,2023-06-03 17:13:04,Sinyal bgus tp lemotnya minta ampun. Tolong di perbaiki lgi. Biar pengguna tidak kecewa😉
Yessila ara,5,2023-06-03 17:08:56,cukup baik
john bhony,1,2023-06-03 17:07:04,Parah ni shopee.
vicky taufik18,5,2023-06-03 17:05:34,Ongkir kasih lebih murah lagi dong
Muhamad Ardiyan Rizki Ardiyan rizki,1,2023-06-03 17:04:45,"Padahal abis di update masa tetep ajh shoope food nya gak ada,lemottttt banget apk shoope🥲"
atep abdul halim,1,2023-06-03 17:04:15,Akun gue gk bisa login lagi padahal no hp masih aktif. Disuruh verifikasi sama scan malah rudet gimna sih shopee
Yunizar Marwan,5,2023-06-03 17:04:14,Mantp
Nuri Awell,5,2023-06-03 17:04:12,good
Ika Setyawati,1,2023-06-03 17:03:35,Sangat burukkk di update tidak bisa
yuni harlinda,5,2023-06-03 17:03:18,Semoga setiap pemesanan barang selalu sesuai dengan yg di rekomendasikan sukses selalu utk shoppee dan seluruh rekanan
Sri Waini,2,2023-06-03 17:02:28,shopee ok
Haniy Masruroh,2,2023-06-03 17:01:24,Kenapa ya sekarang aplikasi shopee jadi lemot bngt mana loadingnya lama. Tolong diperbaiki ya sebaiknya di shopee gak usah ada video rels atau kebanyakan fitur itulah yg mmbuat shopee jadi lemot dan loadingnya lama
Rian Combad,5,2023-06-03 17:00:14,sangat bagus..terimahkasih shopee...
Jumadi Aja,5,2023-06-03 16:57:56,Luar biasa shopy murah dan pengirimannya banyak promonya selamat
Omah Al,1,2023-06-03 16:57:05,mntab
Nur Sa'adah,5,2023-06-03 16:56:32,Gooddd jobbb
Sura laya,3,2023-06-03 16:55:25,salam sukses selalu.
Hendra,4,2023-06-03 16:55:16,Cukup baik untuk belanja tidak harus repot buat keluar rumah 👍
Muhammad Nasuha,5,2023-06-03 16:53:32,cara yang praktis untuk belanja di shopee
Puguh Setiawan,3,2023-06-03 16:53:22,Beli sepatu dapatnya celana dalam
Juwito dwi Atmojo,5,2023-06-03 16:52:43,Sukses selalu
Eko Riando,5,2023-06-03 16:52:02,Wow murah meriah
Alief Fitria,2,2023-06-03 16:51:03,Suka eror
ST. AISYAH Dg. KENNA,5,2023-06-03 16:50:58,Sangat memuaskan
ENDANG JAMIL SAPEI,5,2023-06-03 16:50:33,Bagus
Goldie time,4,2023-06-03 16:50:07,Kadang lemot kadang bagus
Si Paling Handal,1,2023-06-03 16:49:54,"Dapet koin buat kasih penilaian barang dikit banget. Padahal udah ada video dan foto loh, minimal dibikinin persentase dari harga barangnya lah..."
Ali Akbar,1,2023-06-03 16:48:36,Kenapa mau belanjan rokok elektrik atau vape disini sekarang gk bisa? Padahal beberapa bulan kemaren masih bisa belanja vape tapi sekarang gk bisa baranya gk ada dalam pencairan terus pas cek tokonya gk ada penjualan apapun?
Areta Aulia,1,2023-06-03 16:48:03,Iklannya banyak njir
mama bian channel,1,2023-06-03 16:46:03,Update nya susah lemot
Paryanto Yanto,5,2023-06-03 16:44:38,ok
Setiawan Dika,3,2023-06-03 16:40:21,"Lemot parah, apalagi kalau mau checkout & pembayaran, muter2 terus anjirr, padahal sinyal bagus bgt"
Marsa Rista,5,2023-06-03 16:36:19,"senang belanja d shopee barang nya selalu bagus dan TK pernah mengecewakan kurirnya juga ramah"""
